rank	kanji	kind
859	遣	Jōyō
860	週	Kyōiku (2nd grade)
861	才	Kyōiku (2nd grade)
862	穴	Kyōiku (6th grade)
863	至	Kyōiku (6th grade)
864	宝	Kyōiku (6th grade)
865	鏡	Kyōiku (4th grade)
866	円	Kyōiku (1st grade)
867	耐	Jōyō
868	屈	Jōyō
869	井	Kyōiku (4th grade)
870	亡	Kyōiku (6th grade)
871	因	Kyōiku (5th grade)
872	盛	Kyōiku (6th grade)
873	里	Kyōiku (2nd grade)
874	継	Jōyō
875	盗	Jōyō
876	悩	Jōyō
877	斬	Jōyō
878	柄	Jōyō
879	条	Kyōiku (5th grade)
880	九	Kyōiku (1st grade)
881	矢	Kyōiku (2nd grade)
882	肌	Jōyō
883	系	Kyōiku (6th grade)
884	援	Jōyō
885	訪	Kyōiku (6th grade)
886	儀	Jōyō
887	依	Jōyō
888	焦	Jōyō
889	西	Kyōiku (2nd grade)
890	管	Kyōiku (4th grade)
891	箱	Kyōiku (3rd grade)
892	含	Jōyō
893	総	Kyōiku (5th grade)
894	廊	Jōyō
895	拳	Jōyō
896	眉	Jōyō
897	睨	Hyōgai
898	樹	Kyōiku (6th grade)
899	展	Kyōiku (6th grade)
900	京	Kyōiku (2nd grade)
901	跳	Jōyō
902	艦	Jōyō
903	勘	Jōyō
904	荷	Kyōiku (3rd grade)
905	誤	Kyōiku (6th grade)
906	裕	Jōyō
907	汚	Jōyō
908	佐	Kyōiku (4th grade)
909	科	Kyōiku (2nd grade)
910	狂	Jōyō
911	宙	Kyōiku (6th grade)
912	砂	Kyōiku (6th grade)
913	柔	Jōyō
914	珍	Jōyō
915	織	Kyōiku (5th grade)
916	模	Kyōiku (6th grade)
917	諦	Jōyō
918	遺	Kyōiku (6th grade)
919	尾	Jōyō
920	潰	Jōyō
921	執	Jōyō
922	辛	Jōyō
923	借	Kyōiku (4th grade)
924	到	Jōyō
925	椅	Jōyō
926	句	Kyōiku (5th grade)
927	勉	Kyōiku (3rd grade)
928	縁	Jōyō
929	封	Jōyō
930	功	Kyōiku (4th grade)
931	膝	Jōyō
932	陛	Kyōiku (6th grade)
933	捜	Jōyō
934	雰	Jōyō
935	額	Kyōiku (5th grade)
936	携	Jōyō
937	妖	Jōyō
938	覗	Hyōgai
939	寂	Jōyō
940	欠	Kyōiku (4th grade)
941	訊	Jinmeiyō
942	討	Kyōiku (6th grade)
943	掴	Hyōgai
944	臓	Kyōiku (6th grade)
945	隙	Jōyō
946	慮	Jōyō
947	鋭	Jōyō
948	南	Kyōiku (2nd grade)
949	歯	Kyōiku (3rd grade)
950	袋	Jōyō
951	覆	Jōyō
952	策	Kyōiku (6th grade)
953	伯	Jōyō
954	順	Kyōiku (4th grade)
955	氏	Kyōiku (4th grade)
956	溜	Jinmeiyō
957	課	Kyōiku (4th grade)
958	雄	Jōyō
959	陸	Kyōiku (4th grade)
960	板	Kyōiku (3rd grade)
961	懐	Jōyō
962	規	Kyōiku (5th grade)
963	匂	Jōyō
964	冗	Jōyō
965	噂	Jinmeiyō
966	丁	Kyōiku (3rd grade)
967	杯	Jōyō
968	酷	Jōyō
969	群	Kyōiku (4th grade)
970	刃	Jōyō
971	仰	Jōyō
972	虫	Kyōiku (1st grade)
973	乳	Kyōiku (6th grade)
974	露	Jōyō
975	皮	Kyōiku (3rd grade)
976	承	Kyōiku (6th grade)
977	妻	Kyōiku (5th grade)
978	那	Jōyō
979	棒	Kyōiku (6th grade)
980	汗	Jōyō
981	換	Jōyō
982	氷	Kyōiku (3rd grade)
983	潜	Jōyō
984	禁	Kyōiku (5th grade)
985	各	Kyōiku (4th grade)
986	蹴	Jōyō
987	域	Kyōiku (6th grade)
988	魚	Kyōiku (2nd grade)
989	貰	Jinmeiyō
990	略	Kyōiku (5th grade)
991	繋	Hyōgai
992	菜	Kyōiku (4th grade)
993	製	Kyōiku (5th grade)
994	燃	Kyōiku (5th grade)
995	検	Kyōiku (5th grade)
996	即	Jōyō
997	臭	Jōyō
998	戒	Jōyō
999	史	Kyōiku (5th grade)
1000	詳	Jōyō
1001	英	Kyōiku (4th grade)
1002	列	Kyōiku (3rd grade)
1003	庫	Kyōiku (3rd grade)
1004	魂	Jōyō
1005	透	Jōyō
1006	算	Kyōiku (2nd grade)
1007	浴	Kyōiku (4th grade)
1008	複	Kyōiku (5th grade)
1009	統	Kyōiku (5th grade)
1010	呂	Jōyō
1011	房	Jōyō
1012	槍	Jinmeiyō
1013	如	Jōyō
1014	評	Kyōiku (5th grade)
1015	傍	Jōyō
1016	埋	Jōyō
1017	監	Jōyō
1018	致	Jōyō
1019	桜	Kyōiku (5th grade)
1020	巡	Jōyō
1021	硬	Jōyō
1022	拶	Jōyō
1023	挨	Jōyō
1024	推	Kyōiku (6th grade)
1025	秒	Kyōiku (3rd grade)
1026	黄	Kyōiku (2nd grade)
1027	云	Jinmeiyō
1028	砲	Jōyō
1029	測	Kyōiku (5th grade)
1030	冬	Kyōiku (2nd grade)
1031	貸	Kyōiku (5th grade)
1032	召	Jōyō
1033	及	Jōyō
1034	飾	Jōyō
1035	干	Kyōiku (6th grade)
1036	褒	Jōyō
1037	幾	Jōyō
1038	奈	Kyōiku (4th grade)
1039	舎	Kyōiku (5th grade)
1040	奮	Kyōiku (6th grade)
1041	祖	Kyōiku (5th grade)
1042	寒	Kyōiku (3rd grade)
1043	煙	Jōyō
1044	健	Kyōiku (4th grade)
1045	穏	Jōyō
1046	訓	Kyōiku (4th grade)
1047	挙	Kyōiku (4th grade)
1048	易	Kyōiku (5th grade)
1049	営	Kyōiku (5th grade)
1050	秋	Kyōiku (2nd grade)
1051	殴	Jōyō
1052	幻	Jōyō
1053	歴	Kyōiku (5th grade)
1054	喉	Jōyō
1055	刑	Jōyō
1056	雲	Kyōiku (2nd grade)
1057	区	Kyōiku (3rd grade)
1058	暇	Jōyō
1059	侵	Jōyō
1060	充	Jōyō
1061	節	Kyōiku (4th grade)
1062	湯	Kyōiku (3rd grade)
1063	抵	Jōyō
1064	忙	Jōyō
1065	濡	Jinmeiyō
1066	盾	Jōyō
1067	賊	Jōyō
1068	録	Kyōiku (4th grade)
1069	辞	Kyōiku (4th grade)
1070	鍵	Jōyō
1071	狼	Jinmeiyō
1072	宇	Kyōiku (6th grade)
1073	努	Kyōiku (4th grade)
1074	撮	Jōyō
1075	喚	Jōyō
1076	揃	Jinmeiyō
1077	施	Jōyō
1078	灯	Kyōiku (4th grade)
1079	索	Jōyō
1080	机	Kyōiku (6th grade)
1081	央	Kyōiku (3rd grade)
1082	抑	Jōyō
1083	油	Kyōiku (3rd grade)
1084	晩	Kyōiku (6th grade)
1085	雷	Jōyō
1086	双	Jōyō
1087	婦	Kyōiku (5th grade)
1088	揮	Kyōiku (6th grade)
1089	随	Jōyō
1090	択	Jōyō
1091	清	Kyōiku (4th grade)
1092	偽	Jōyō
1093	憎	Jōyō
1094	懸	Jōyō
1095	障	Kyōiku (6th grade)
1096	旦	Jōyō
1097	沢	Jōyō
1098	滑	Jōyō
1099	忍	Jōyō
1100	専	Kyōiku (6th grade)
1101	溢	Jinmeiyō
1102	砕	Jōyō
1103	称	Jōyō
1104	岩	Kyōiku (2nd grade)
1105	匹	Jōyō
1106	逸	Jōyō
1107	福	Kyōiku (3rd grade)
1108	費	Kyōiku (5th grade)
1109	候	Kyōiku (4th grade)
1110	脚	Jōyō
1111	狩	Jōyō
1112	妃	Jōyō
1113	敬	Kyōiku (6th grade)
1114	便	Kyōiku (4th grade)
1115	誇	Jōyō
1116	匠	Jōyō
1117	芸	Kyōiku (4th grade)
1118	歪	Hyōgai
1119	愚	Jōyō
1120	霧	Jōyō
1121	緩	Jōyō
1122	療	Jōyō
1123	給	Kyōiku (4th grade)
1124	養	Kyōiku (4th grade)
1125	獄	Jōyō
1126	躍	Jōyō
1127	挑	Jōyō
1128	児	Kyōiku (4th grade)
1129	宅	Kyōiku (6th grade)
1130	委	Kyōiku (3rd grade)
1131	怯	Hyōgai
1132	預	Kyōiku (6th grade)
1133	歓	Jōyō
1134	坊	Jōyō
1135	貫	Jōyō
1136	恵	Jōyō
1137	般	Jōyō
1138	午	Kyōiku (2nd grade)
1139	幕	Kyōiku (6th grade)
1140	蔵	Kyōiku (6th grade)
1141	膨	Jōyō
1142	紹	Jōyō
1143	虚	Jōyō
1144	挟	Jōyō
1145	源	Kyōiku (6th grade)
1146	招	Kyōiku (5th grade)
1147	縮	Kyōiku (6th grade)
1148	駅	Kyōiku (3rd grade)
1149	編	Kyōiku (5th grade)
1150	載	Jōyō
1151	噛	Hyōgai
1152	菓	Jōyō
1153	宣	Kyōiku (6th grade)
1154	劇	Kyōiku (6th grade)
1155	喋	Jinmeiyō
1156	泊	Jōyō
1157	翼	Jōyō
1158	龍	Jinmeiyō
1159	損	Kyōiku (5th grade)
1160	祝	Kyōiku (4th grade)
1161	泉	Kyōiku (6th grade)
1162	標	Kyōiku (4th grade)
1163	祈	Jōyō
1164	拾	Kyōiku (3rd grade)
1165	緑	Kyōiku (3rd grade)
1166	停	Kyōiku (5th grade)
1167	紫	Jōyō
1168	範	Jōyō
1169	倍	Kyōiku (3rd grade)
1170	糸	Kyōiku (1st grade)
1171	拭	Jōyō
1172	稼	Jōyō
1173	掃	Jōyō
1174	厚	Kyōiku (5th grade)
1175	善	Kyōiku (6th grade)
1176	倉	Kyōiku (4th grade)
1177	永	Kyōiku (5th grade)
1178	崎	Kyōiku (4th grade)
1179	章	Kyōiku (3rd grade)
1180	唱	Kyōiku (4th grade)
1181	狭	Jōyō
1182	脇	Jōyō
1183	添	Jōyō
1184	環	Jōyō
1185	脅	Jōyō
1186	濃	Jōyō
1187	趣	Jōyō
1188	偉	Jōyō
1189	玄	Jōyō
1190	麻	Jōyō
1191	聴	Jōyō
1192	縛	Jōyō
1193	谷	Kyōiku (2nd grade)
1194	延	Kyōiku (6th grade)
1195	烈	Jōyō
1196	昇	Jōyō
1197	擦	Jōyō
1198	塔	Jōyō
1199	塞	Jōyō
1200	魅	Jōyō
1201	垂	Kyōiku (6th grade)
1202	呑	Hyōgai
1203	涼	Jōyō
1204	酔	Jōyō
1205	唯	Jōyō
1206	契	Jōyō
1207	河	Kyōiku (5th grade)
1208	舐	Hyōgai
1209	栄	Kyōiku (4th grade)
1210	坂	Kyōiku (3rd grade)
1211	嫁	Jōyō
1212	占	Jōyō
1213	藤	Jōyō
1214	橋	Kyōiku (3rd grade)
1215	省	Kyōiku (4th grade)
1216	哀	Jōyō
1217	偶	Jōyō
1218	渉	Jōyō
1219	頰	Jōyō
1220	拍	Jōyō
1221	副	Kyōiku (4th grade)
1222	蛇	Jōyō
1223	乾	Jōyō
1224	植	Kyōiku (3rd grade)
1225	遭	Jōyō
1226	亜	Jōyō
1227	賢	Jōyō
1228	奏	Kyōiku (6th grade)
1229	拒	Jōyō
1230	瀬	Jōyō
1231	馴	Jinmeiyō
1232	江	Jōyō
1233	鎧	Jinmeiyō
1234	侍	Jōyō
1235	溶	Jōyō
1236	絞	Jōyō
1237	豪	Jōyō
1238	鮮	Jōyō
1239	淡	Jōyō
1240	衆	Kyōiku (6th grade)
1241	府	Kyōiku (4th grade)
1242	粉	Kyōiku (5th grade)
1243	杖	Jinmeiyō
1244	膣	Hyōgai
1245	猛	Jōyō
1246	企	Jōyō
1247	郷	Kyōiku (6th grade)
1248	尊	Kyōiku (6th grade)
1249	孤	Jōyō
1250	審	Jōyō
1251	沙	Jōyō
1252	弓	Kyōiku (2nd grade)
1253	踊	Jōyō
1254	纏	Jinmeiyō
1255	恨	Jōyō
1256	鍛	Jōyō
1257	筈	Jinmeiyō
1258	針	Kyōiku (6th grade)
1259	詞	Kyōiku (6th grade)
1260	零	Jōyō
1261	貨	Kyōiku (4th grade)
1262	看	Kyōiku (6th grade)
1263	秀	Jōyō
1264	隅	Jōyō
1265	則	Kyōiku (5th grade)
1266	創	Kyōiku (6th grade)
1267	隷	Jōyō
1268	卒	Kyōiku (4th grade)
1269	築	Kyōiku (5th grade)
1270	博	Kyōiku (4th grade)
1271	伊	Jinmeiyō
1272	諸	Kyōiku (6th grade)
1273	忠	Kyōiku (6th grade)
1274	控	Jōyō
1275	裸	Jōyō
1276	柱	Kyōiku (3rd grade)
1277	裁	Kyōiku (6th grade)
1278	林	Kyōiku (1st grade)
1279	札	Kyōiku (4th grade)
1280	謎	Jōyō
1281	爪	Jōyō
1282	堪	Jōyō
1283	寧	Jōyō
1284	採	Kyōiku (5th grade)
1285	財	Kyōiku (5th grade)
1286	械	Kyōiku (4th grade)
1287	塗	Jōyō
1288	凍	Jōyō
1289	摘	Jōyō
1290	灰	Kyōiku (6th grade)
1291	靴	Jōyō
1292	曜	Kyōiku (2nd grade)
1293	雅	Jōyō
1294	咲	Jōyō
1295	筆	Kyōiku (3rd grade)
1296	齢	Jōyō
1297	喧	Jinmeiyō
1298	癒	Jōyō
1299	侯	Jōyō
1300	獲	Jōyō
1301	嘆	Jōyō
1302	遇	Jōyō
1303	律	Kyōiku (6th grade)
1304	慎	Jōyō
1305	宗	Kyōiku (6th grade)
1306	誓	Jōyō
1307	殊	Jōyō
1308	鎖	Jōyō
1309	噴	Jōyō
1310	揚	Jōyō
1311	詩	Kyōiku (3rd grade)
1312	謀	Jōyō
1313	乃	Jinmeiyō
1314	這	Jinmeiyō
1315	恩	Kyōiku (6th grade)
1316	璧	Jōyō
1317	臣	Kyōiku (4th grade)
1318	厄	Jōyō
1319	洋	Kyōiku (3rd grade)
1320	羅	Jōyō
1321	誕	Kyōiku (6th grade)
1322	辿	Jinmeiyō
1323	浅	Kyōiku (4th grade)
1324	誠	Kyōiku (6th grade)
1325	徴	Jōyō
1326	晶	Jōyō
1327	脈	Kyōiku (5th grade)
1328	籠	Jōyō
1329	喰	Jinmeiyō
1330	罰	Jōyō
1331	腐	Jōyō
1332	偵	Jōyō
1333	湧	Jōyō
1334	鈍	Jōyō
1335	泳	Kyōiku (3rd grade)
1336	賞	Kyōiku (5th grade)
1337	漂	Jōyō
1338	僅	Jōyō
1339	賛	Kyōiku (5th grade)
1340	乙	Jōyō
1341	泥	Jōyō
1342	癖	Jōyō
1343	翌	Kyōiku (6th grade)
1344	卿	Jinmeiyō
1345	唐	Jōyō
1346	伐	Jōyō
1347	棚	Jōyō
1348	苛	Jōyō
1349	叶	Jinmeiyō
1350	把	Jōyō
1351	股	Jōyō
1352	惜	Jōyō
1353	請	Jōyō
1354	塊	Jōyō
1355	紛	Jōyō
1356	訴	Jōyō
1357	囁	Hyōgai
1358	枝	Kyōiku (5th grade)
1359	惚	Jinmeiyō
1360	仁	Kyōiku (6th grade)
1361	釣	Jōyō
1362	徹	Jōyō
1363	譲	Jōyō
1364	噓	Hyōgai
1365	寮	Jōyō
1366	米	Kyōiku (2nd grade)
1367	豊	Kyōiku (5th grade)
1368	寺	Kyōiku (2nd grade)
1369	勿	Jinmeiyō
1370	皿	Kyōiku (3rd grade)
1371	悠	Jōyō
1372	症	Jōyō
1373	顎	Jōyō
1374	粋	Jōyō
1375	彩	Jōyō
1376	促	Jōyō
1377	勤	Kyōiku (6th grade)
1378	牙	Jōyō
1379	凶	Jōyō
1380	松	Kyōiku (4th grade)
1381	剥	Hyōgai
1382	棄	Jōyō
1383	凝	Jōyō
1384	鈴	Jōyō
1385	縦	Kyōiku (6th grade)
1386	削	Jōyō
1387	遮	Jōyō
1388	遂	Jōyō
1389	績	Kyōiku (5th grade)
1390	還	Jōyō
1391	据	Jōyō
1392	革	Kyōiku (6th grade)
1393	肢	Jōyō
1394	賭	Jōyō
1395	掲	Jōyō
1396	卵	Kyōiku (6th grade)
1397	講	Kyōiku (5th grade)
1398	掻	Hyōgai
1399	漫	Jōyō
1400	災	Kyōiku (5th grade)
1401	劣	Jōyō
1402	季	Kyōiku (4th grade)
1403	牛	Kyōiku (2nd grade)
1404	戯	Jōyō
1405	幽	Jōyō
1406	亀	Jōyō
1407	掘	Jōyō
1408	就	Kyōiku (6th grade)
1409	摑	Jinmeiyō
1410	洞	Jōyō
1411	犠	Jōyō
1412	牲	Jōyō
1413	盤	Jōyō
1414	嘩	Jinmeiyō
1415	浜	Jōyō
1416	廃	Jōyō
1417	鼓	Jōyō
1418	湖	Kyōiku (3rd grade)
1419	寸	Kyōiku (6th grade)
1420	紋	Jōyō
1421	惨	Jōyō
1422	憩	Jōyō
1423	蒼	Jinmeiyō
1424	肝	Jōyō
1425	港	Kyōiku (3rd grade)
1426	貧	Kyōiku (5th grade)
1427	督	Jōyō
1428	盟	Kyōiku (6th grade)
1429	熟	Kyōiku (6th grade)
1430	堵	Jinmeiyō
1431	旧	Kyōiku (5th grade)
1432	陥	Jōyō
1433	紀	Kyōiku (5th grade)
1434	暖	Kyōiku (6th grade)
1435	拘	Jōyō
1436	暑	Kyōiku (3rd grade)
1437	競	Kyōiku (4th grade)
1438	述	Kyōiku (5th grade)
1439	躇	Hyōgai
1440	躊	Hyōgai
1441	揉	Hyōgai
1442	騙	Hyōgai
1443	幅	Jōyō
1444	唾	Jōyō
1445	鑑	Jōyō
1446	釈	Jōyō
1447	畳	Jōyō
1448	斉	Jōyō
1449	吉	Jōyō
1450	錬	Jōyō
1451	赦	Jōyō
1452	卑	Jōyō
1453	捉	Jōyō
1454	益	Kyōiku (5th grade)
1455	飼	Kyōiku (5th grade)
1456	伴	Jōyō
1457	維	Jōyō
1458	渋	Jōyō
1459	掌	Jōyō
1460	催	Jōyō
1461	浸	Jōyō
1462	澄	Jōyō
1463	蓋	Jōyō
1464	州	Kyōiku (3rd grade)
1465	幹	Kyōiku (5th grade)
1466	粒	Jōyō
1467	愉	Jōyō
1468	眩	Hyōgai
1469	憧	Jōyō
1470	尉	Jōyō
1471	臨	Kyōiku (6th grade)
1472	墓	Kyōiku (5th grade)
1473	訝	Hyōgai
1474	岸	Kyōiku (3rd grade)
1475	農	Kyōiku (3rd grade)
1476	瓶	Jōyō
1477	袖	Jōyō
1478	津	Jōyō
1479	僧	Jōyō
1480	徐	Jōyō
1481	患	Jōyō
1482	拝	Kyōiku (6th grade)
1483	貌	Jōyō
1484	概	Jōyō
1485	磨	Jōyō
1486	診	Jōyō
1487	童	Kyōiku (3rd grade)
1488	蓮	Jinmeiyō
1489	孫	Kyōiku (4th grade)
1490	愕	Hyōgai
1491	免	Jōyō
1492	雫	Jinmeiyō
1493	雇	Jōyō
1494	罠	Hyōgai
1495	俯	Hyōgai
1496	富	Kyōiku (4th grade)
1497	豆	Kyōiku (3rd grade)
1498	粘	Jōyō
1499	卓	Jōyō
1500	智	Jinmeiyō
1501	拡	Kyōiku (6th grade)
1502	排	Jōyō
1503	帳	Kyōiku (3rd grade)
1504	誌	Kyōiku (6th grade)
1505	隔	Jōyō
1506	筒	Jōyō
1507	酸	Kyōiku (5th grade)
1508	壇	Jōyō
1509	航	Kyōiku (5th grade)
1510	敏	Jōyō
1511	爺	Hyōgai
1512	妬	Jōyō
1513	鋼	Kyōiku (6th grade)
1514	塩	Kyōiku (4th grade)
1515	典	Kyōiku (4th grade)
1516	康	Kyōiku (4th grade)
1517	汁	Jōyō
1518	窺	Jinmeiyō
1519	骸	Jōyō
1520	煮	Jōyō
1521	畑	Kyōiku (3rd grade)
1522	葵	Jinmeiyō
1523	也	Jinmeiyō
1524	蘇	Jinmeiyō
1525	弄	Jōyō
1526	閣	Kyōiku (6th grade)
1527	嚙	Hyōgai
1528	覧	Kyōiku (6th grade)
1529	忌	Jōyō
1530	胆	Jōyō
1531	之	Jinmeiyō
1532	錯	Jōyō
1533	虐	Jōyō
1534	没	Jōyō
1535	斐	Jinmeiyō
1536	尖	Jinmeiyō
1537	却	Jōyō
1538	狐	Hyōgai
1539	虎	Jōyō
1540	繁	Jōyō
1541	帽	Jōyō
1542	穂	Jōyō
1543	巫	Jinmeiyō
1544	託	Jōyō
1545	唸	Hyōgai
1546	斜	Jōyō
1547	序	Kyōiku (5th grade)
1548	潤	Jōyō
1549	慰	Jōyō
1550	旗	Kyōiku (4th grade)
1551	叔	Jōyō
1552	叱	Hyōgai
1553	芝	Jōyō
1554	兼	Jōyō
1555	寿	Jōyō
1556	縄	Kyōiku (4th grade)
1557	撤	Jōyō
1558	苗	Jōyō
1559	億	Kyōiku (4th grade)
1560	邸	Jōyō
1561	妄	Jōyō
1562	痕	Jōyō
1563	勧	Jōyō
1564	徳	Kyōiku (4th grade)
1565	飽	Jōyō
1566	党	Kyōiku (6th grade)
1567	滲	Hyōgai
1568	償	Jōyō
1569	傭	Jinmeiyō
1570	麦	Kyōiku (2nd grade)
1571	奉	Jōyō
1572	班	Kyōiku (6th grade)
1573	池	Kyōiku (2nd grade)
1574	閃	Jinmeiyō
1575	滴	Jōyō
1576	潔	Kyōiku (5th grade)
1577	朱	Jōyō
1578	渦	Jōyō
1579	紗	Jinmeiyō
1580	羊	Kyōiku (3rd grade)
1581	捧	Jinmeiyō
1582	嵐	Jōyō
1583	痺	Hyōgai
1584	網	Jōyō
1585	梨	Kyōiku (4th grade)
1586	往	Kyōiku (5th grade)
1587	阻	Jōyō
1588	潮	Kyōiku (6th grade)
1589	窟	Jōyō
1590	翻	Jōyō
1591	讐	Hyōgai
1592	仏	Kyōiku (5th grade)
1593	濁	Jōyō
1594	嘲	Jōyō
1595	羨	Jōyō
1596	婆	Jōyō
1597	版	Kyōiku (5th grade)
1598	堅	Jōyō
1599	憂	Jōyō
1600	凛	Jinmeiyō
1601	励	Jōyō
1602	貼	Jōyō
1603	漢	Kyōiku (3rd grade)
1604	贈	Jōyō
1605	滞	Jōyō
1606	枕	Jōyō
1607	核	Jōyō
1608	巣	Kyōiku (4th grade)
1609	詠	Jōyō
1610	伺	Jōyō
1611	沿	Kyōiku (6th grade)
1612	艶	Jōyō
1613	署	Kyōiku (6th grade)
1614	項	Jōyō
1615	肯	Jōyō
1616	丘	Jōyō
1617	鞄	Jinmeiyō
1618	牢	Hyōgai
1619	憑	Hyōgai
1620	珠	Jōyō
1621	辱	Jōyō
1622	較	Jōyō
1623	岡	Kyōiku (4th grade)
1624	鍋	Jōyō
1625	鉱	Kyōiku (5th grade)
1626	鬱	Jōyō
1627	喫	Jōyō
1628	痴	Jōyō
1629	轟	Jinmeiyō
1630	誉	Jōyō
1631	睡	Jōyō
1632	廷	Jōyō
1633	塵	Hyōgai
1634	豚	Jōyō
1635	泡	Jōyō
1636	妾	Hyōgai
1637	是	Jōyō
1638	嫉	Jōyō
1639	葬	Jōyō
1640	析	Jōyō
1641	莉	Jinmeiyō
1642	咳	Hyōgai
1643	嗟	Hyōgai
1644	湿	Jōyō
1645	璃	Jōyō
1646	履	Jōyō
1647	晒	Jinmeiyō
1648	酬	Jōyō
1649	軌	Jōyō
1650	販	Jōyō
1651	昧	Jōyō
1652	悶	Hyōgai
1653	旋	Jōyō
1654	挿	Jōyō
1655	遥	Jinmeiyō
1656	蒸	Kyōiku (6th grade)
1657	宴	Jōyō
1658	漠	Jōyō
1659	竹	Kyōiku (1st grade)
1660	膜	Jōyō
1661	慈	Jōyō
1662	征	Jōyō
1663	捻	Jōyō
1664	購	Jōyō
1665	桃	Jōyō
1666	融	Jōyō
1667	巧	Jōyō
1668	楓	Jinmeiyō
1669	鎮	Jōyō
1670	剤	Jōyō
1671	吊	Hyōgai
1672	庁	Kyōiku (6th grade)
1673	熊	Kyōiku (4th grade)
1674	裾	Jōyō
1675	弥	Jōyō
1676	擬	Jōyō
1677	庇	Jinmeiyō
1678	綾	Jinmeiyō
1679	砦	Jinmeiyō
1680	淫	Jōyō
1681	傘	Jōyō
1682	憤	Jōyō
1683	稽	Jōyō
1684	棟	Jōyō
1685	胃	Kyōiku (6th grade)
1686	浄	Jōyō
1687	咄	Hyōgai
1688	尚	Jōyō
1689	呻	Hyōgai
1690	刹	Jōyō
1691	嗅	Jōyō
1692	賀	Kyōiku (4th grade)
1693	献	Jōyō
1694	餌	Jōyō
1695	詮	Jōyō
1696	此	Jinmeiyō
1697	輸	Kyōiku (5th grade)
1698	醒	Jōyō
1699	敢	Jōyō
1700	琴	Jōyō
1701	冊	Kyōiku (6th grade)
1702	曖	Jōyō
1703	隼	Jinmeiyō
1704	募	Jōyō
1705	鐘	Jōyō
1706	銭	Kyōiku (6th grade)
1707	胴	Jōyō
1708	縫	Jōyō
1709	壮	Jōyō
1710	凪	Jinmeiyō
1711	駐	Jōyō
1712	醜	Jōyō
1713	囚	Jōyō
1714	翠	Jinmeiyō
1715	梅	Kyōiku (4th grade)
1716	紡	Jōyō
1717	斗	Jōyō
1718	駒	Jōyō
1719	沸	Jōyō
1720	攣	Hyōgai
1721	薇	Hyōgai
1722	憐	Jinmeiyō
1723	阿	Jinmeiyō
1724	奢	Hyōgai
1725	薔	Hyōgai
1726	曇	Jōyō
1727	蜜	Jōyō
1728	殻	Jōyō
1729	胞	Jōyō
1730	猿	Jōyō
1731	怠	Jōyō
1732	杏	Jinmeiyō
1733	稿	Jōyō
1734	殆	Jinmeiyō
1735	疎	Jōyō
1736	瓦	Jōyō
1737	枯	Jōyō
1738	矛	Jōyō
1739	勃	Jōyō
1740	兎	Jinmeiyō
1741	瑞	Jinmeiyō
1742	均	Kyōiku (5th grade)
1743	穢	Hyōgai
1744	架	Jōyō
1745	芽	Kyōiku (4th grade)
1746	罵	Jōyō
1747	鱗	Jinmeiyō
1748	峰	Jōyō
1749	蜘	Hyōgai
1750	蛛	Hyōgai
1751	翔	Jinmeiyō
1752	炭	Kyōiku (3rd grade)
1753	缶	Jōyō
1754	汰	Jōyō
1755	符	Jōyō
1756	拐	Jōyō
1757	侮	Jōyō
1758	笛	Kyōiku (3rd grade)
1759	茂	Jōyō
1760	儂	Hyōgai
1761	乏	Jōyō
1762	竦	Hyōgai
1763	爽	Jōyō
1764	佳	Jōyō
1765	濯	Jōyō
1766	漆	Jōyō
1767	扇	Jōyō
1768	籍	Jōyō
1769	搔	Hyōgai
1770	糖	Kyōiku (6th grade)
1771	須	Jōyō
1772	粗	Jōyō
1773	県	Kyōiku (3rd grade)
1774	畜	Jōyō
1775	牧	Kyōiku (4th grade)
1776	喪	Jōyō
1777	僚	Jōyō
1778	繫	Jinmeiyō
1779	賑	Jinmeiyō
1780	浪	Jōyō
1781	税	Kyōiku (5th grade)
1782	軒	Jōyō
1783	漁	Kyōiku (4th grade)
1784	疾	Jōyō
1785	窮	Jōyō
1786	拙	Jōyō
1787	剝	Jōyō
1788	彫	Jōyō
1789	綱	Jōyō
1790	妨	Jōyō
1791	肘	Jōyō
1792	梓	Jinmeiyō
1793	橘	Jinmeiyō
1794	票	Kyōiku (4th grade)
1795	蔑	Jōyō
1796	膚	Jōyō
1797	著	Kyōiku (6th grade)
1798	拗	Hyōgai
1799	絆	Jinmeiyō
1800	凡	Jōyō
1801	啓	Jōyō
1802	宰	Jōyō
1803	藩	Jōyō
1804	茜	Jinmeiyō
1805	沼	Jōyō
1806	撒	Jinmeiyō
1807	斧	Jinmeiyō
1808	荘	Jōyō
1809	斎	Jōyō
1810	炉	Jōyō
1811	妊	Jōyō
1812	紐	Jinmeiyō
1813	崖	Jōyō
1814	箇	Jōyō
1815	覇	Jōyō
1816	棋	Jōyō
1817	剛	Jōyō
1818	厨	Jinmeiyō
1819	顧	Jōyō
1820	枠	Jōyō
1821	鷹	Jinmeiyō
1822	暫	Jōyō
1823	薙	Jinmeiyō
1824	霞	Jinmeiyō
1825	粧	Jōyō
1826	磁	Kyōiku (6th grade)
1827	蓄	Jōyō
1828	披	Jōyō
1829	渇	Jōyō
1830	逢	Jinmeiyō
1831	煽	Hyōgai
1832	稲	Jōyō
1833	陶	Jōyō
1834	欺	Jōyō
1835	帆	Jōyō
1836	鎌	Jōyō
1837	鞭	Jinmeiyō
1838	耗	Jōyō
1839	皺	Hyōgai
1840	芳	Jōyō
